Label,Recommendation
Orange___Haunglongbing_(Citrus_greening),"Some cultural practices can be effective in monitoring this disease. Cultural methods include antibacterial management, sanitation, removal of infected plants, frequent scouting, and most importantly, crisis declaration. Tracking the disease will help prevent further infection in other affected areas and help mitigate more local infections if detected early enough.  The Asian citrus psyllid has alternative hosts that may attract psyllids to citrus plants in the vicinity such as Murraya paniculata, Severinia buxifolia, and other plants in the family Rutaceae.No cure for citrus greening disease is known, and efforts to control it have been slow because infected citrus plants are difficult to maintain, regenerate, and study. Ongoing challenges associated with mitigating disease at the field-scale include seasonality of the phytopathogen (Candidatus Liberibacter spp.) and associated disease symptoms, limitations for therapeutics to contact the phytopathogen in planta, adverse impacts of broad-spectrum treatments on plant-beneficial microbiota, and potential implications on public and ecosystem health.No naturally immune citrus cultivars have been identified; however, creating genetically modified citrus may be a possible solution, but questions of its acceptability to consumers exist. A researcher at Texas AgriLife Research reported in 2012 that incorporating two genes from spinach into citrus trees improved resistance to citrus greening disease in greenhouse trials. Field tests by Southern Gardens Citrus of oranges with the spinach genes in Florida are ongoing.A resistant variety of mandarin orange called Bingo has been bred at the University of Florida. Other varieties can have a partial tolerance to the disease."
Peach___Bacterial_spot,"There are no known effective treatments for BLS, consequently, removal of affected plants is recommended."
"Pepper,_bell___Bacterial_spot","Bacterial spot of pepper and tomato can spread extremely quickly with infected plants showing symptoms 3–5 days after exposure to the pathogen. Starting with one infected plant, susceptible neighboring plants can show symptoms in as little as two weeks and an entire field can become diseased in as little as ten weeks. There are currently several methods of control, some of which are more effective than others.In the 1950s, the antibiotic streptomycin was used extensively to control the spread of Xanthomonas campestris pv. vesicatoria. However, the bacteria developed resistant strains and widespread antibiotic application is no longer an effective method of control.It was once believed that a single strain of Xanthomonas campestris pv. vesicatoria was responsible for leaf spot disease on peppers and tomatoes. However, it is now known that there are four different phenotypic groups within the Xanthomonas genus that are pathogenic. Group A and C are found in Xanthomonas campestris pv. vesicatoria, group B is found in X. vesicatoria, and group D is found in X. gardeneri. Some of the strains have as little as 70% of their DNA in common which makes breeding for resistance extremely difficult. While there has been some research made into finding resistant varieties of host plants, success has been limited due to the variation in the pathogenXanthomonas campestris pv. vesicatoria does not survive well in decayed plant material therefore removal of debris and crop rotation are two good methods for preventing the spread of this bacterium. Another important management method is to eliminate volunteer plants (plants that grow without being specifically planted or managed by farmers) as wild pepper and tomato plants can harbor the disease in warmer climates.Currently, the most effective treatment for bacterial spot of pepper and tomato is a combination of chemical applications. Diseased seeds may be treated with sodium hypochlorite, calcium hypochlorite, or trisodium phosphate to kill bacteria on the surface of the seed. Treating internal seed infection is harder but can be done with other chemical or heat treatments. Infected fields are treated with multiple application approach involving spraying a mixture of copper and mancozeb, which prevents further infection and kills a variety of pathogens present at the time of spraying. Finally, there is some research being done into the foliar application of bacteriophages (viruses that infect bacteria) to control the disease but this approach has been met with some resistance and is not currently a widely used method."
Potato___Early_blight,"Clear infected debris from field to reduce inoculum for the next year.Water plants in the morning so plants are wet for the shortest amount of time.Use a drip irrigation system to minimize leaf wetness which provides optimal conditions for fungal growth.Use mulch so spores in soil cannot splash onto leaves from the soil.Rotate to a non-Solanaceous crop for at least three years. The more potato-free years, the less infection.If possible control wild population of Solanaceae.  This will decrease the amount of inoculum to infect your plants.Closely monitor field, especially in warm damp weather when it grows fastest, to reduce loss of crop and spray fungicide in time.Plant resistant cultivars.Increase air circulation in rows.  Damp conditions allow for optimal growth of A. Solani and the disease spreads more rapidly. This can be achieved by planting farther apart or by trimming leaves."
Potato___Late_blight,"Phytophthora infestans is an oomycete or water mold, a microorganism that causes the serious potato and tomato disease known as late blight or potato blight. Early blight, caused by Alternaria solani, is also often called ""potato blight"". Late blight was a major culprit in the 1840s European, the 1845 - 1852 Irish, and the 1846 Highland potato famines. The organism can also infect some other members of the Solanaceae. The pathogen is favored by moist, cool environments: sporulation is optimal at 12–18 °C in water-saturated or nearly saturated environments, and zoospore production is favored at temperatures below 15 °C. Lesion growth rates are typically optimal at a slightly warmer temperature range of 20 to 24 °C.

"
Squash___Powdery_mildew,"Standard fungicides are an effective way to manage powdery mildew disease on plants. Spray programs of conventional fungicides are advised to begin when powdery mildew symptoms and signs are first noticed. Conventional fungicides should be applied on a regular basis for best results against the disease.Control is possible with triadimefon and propiconazole. It is also possible with hexaconazole, myclobutanil, and penconazole."
Strawberry___Leaf_scorch,"Diplocarpon earlianum is a species of fungus that causes disease in strawberry plants called strawberry leaf scorch. The disease overwinters in plant debris and infects strawberry plants during the spring season when it is wet. The five main methods to reduce strawberry leaf scorch include: irrigation techniques, crop rotation, planting resistant and disease-free seeds, fungicide use, and sanitation measures. Control of strawberry leaf scorch is important because it is responsible for the majority of disease in strawberries. Diplocarpon earliana affects the fruit quality and yield of the strawberry crop. Losses range from negligible to severe depending on numerous epidemiological factors including cultivar susceptibility, type of cropping system, and weather conditions 

"
Tomato___Bacterial_spot,"Bacterial spot of pepper and tomato can spread extremely quickly with infected plants showing symptoms 3–5 days after exposure to the pathogen. Starting with one infected plant, susceptible neighboring plants can show symptoms in as little as two weeks and an entire field can become diseased in as little as ten weeks. There are currently several methods of control, some of which are more effective than others.In the 1950s, the antibiotic streptomycin was used extensively to control the spread of Xanthomonas campestris pv. vesicatoria. However, the bacteria developed resistant strains and widespread antibiotic application is no longer an effective method of control.It was once believed that a single strain of Xanthomonas campestris pv. vesicatoria was responsible for leaf spot disease on peppers and tomatoes. However, it is now known that there are four different phenotypic groups within the Xanthomonas genus that are pathogenic. Group A and C are found in Xanthomonas campestris pv. vesicatoria, group B is found in X. vesicatoria, and group D is found in X. gardeneri. Some of the strains have as little as 70% of their DNA in common which makes breeding for resistance extremely difficult. While there has been some research made into finding resistant varieties of host plants, success has been limited due to the variation in the pathogenXanthomonas campestris pv. vesicatoria does not survive well in decayed plant material therefore removal of debris and crop rotation are two good methods for preventing the spread of this bacterium. Another important management method is to eliminate volunteer plants (plants that grow without being specifically planted or managed by farmers) as wild pepper and tomato plants can harbor the disease in warmer climates.Currently, the most effective treatment for bacterial spot of pepper and tomato is a combination of chemical applications. Diseased seeds may be treated with sodium hypochlorite, calcium hypochlorite, or trisodium phosphate to kill bacteria on the surface of the seed. Treating internal seed infection is harder but can be done with other chemical or heat treatments. Infected fields are treated with multiple application approach involving spraying a mixture of copper and mancozeb, which prevents further infection and kills a variety of pathogens present at the time of spraying. Finally, there is some research being done into the foliar application of bacteriophages (viruses that infect bacteria) to control the disease but this approach has been met with some resistance and is not currently a widely used method."
Tomato___Early_blight,"Clear infected debris from field to reduce inoculum for the next year.Water plants in the morning so plants are wet for the shortest amount of time.Use a drip irrigation system to minimize leaf wetness which provides optimal conditions for fungal growth.Use mulch so spores in soil cannot splash onto leaves from the soil.Rotate to a non-Solanaceous crop for at least three years. The more potato-free years, the less infection.If possible control wild population of Solanaceae.  This will decrease the amount of inoculum to infect your plants.Closely monitor field, especially in warm damp weather when it grows fastest, to reduce loss of crop and spray fungicide in time.Plant resistant cultivars.Increase air circulation in rows.  Damp conditions allow for optimal growth of A. Solani and the disease spreads more rapidly. This can be achieved by planting farther apart or by trimming leaves."
Tomato___Late_blight,"P. infestans is still a difficult disease to control. There are many chemical options in agriculture for the control of both damage to the foliage and infections of the tuber. A few of the most common foliar-applied fungicides are Ridomil, a Gavel/SuperTin tank mix, and Previcur Flex. All of the aforementioned fungicides need to be tank mixed with a broad-spectrum fungicide such as mancozeb or chlorothalonil not just for resistance management but also because the potato plants will be attacked by other pathogens at the same time.If adequate field scouting occurs and late blight is found soon after disease development, localized patches of potato plants can be killed with a desiccant (e.g. paraquat) through the use of a backpack sprayer. This management technique can be thought of as a field-scale hypersensitive response similar to what occurs in some plant-viral interactions whereby cells surrounding the initial point of infection are killed in order to prevent proliferation of the pathogen.If infected tubers make it into the storage bin, theres a very high risk to the storage life of that bin. Once in storage, there isnt much that can be done besides emptying the parts of the bin that contain tubers infected with Phytophthora infestans. To increase the probability of successfully storing potatoes from a field where late blight was known to occur during the growing season, some products can be applied just prior to entering storage (e.g. Phostrol).Around the world the disease causes around $6 billion of damage to crops each year."
Tomato___Leaf_Mold,The disease management or control can be divided into two main groups: disease control in greenhouse and disease control in the field. Both controls are very similar. The differences are presented in few controls adopted in greenhouse in which some environmental conditions are controlled such as humidity and temperature as well sanitization of the greenhouse.
Tomato___Septoria_leaf_spot,"The effects of Septoria lycopersici can often be reduced through the implementation of a variety of management techniques. First and foremost, each season should begin as pathogen-free as possible. This can be accomplished by burning or destroying all infected plant tissues to prevent the spread of the primary innoculum. Crop rotation is also encouraged to avoid the re-infection of new foliage from overwintered inoculum. Improving air circulation around the plants through separation of rows and use of cages can also promote faster drying and reduction of splashing, thus reducing the spread of fungal spores. Drip irrigation and mulching also help with the reduction of splashing thus decreasing further inoculum dispersal. Fungicidal sprays should also be considered, though they do not cure already infected leaves, they protect uninfected leaves from becoming infected."
Tomato___Spider_mites Two-spotted_spider_mite,"Neem oil may provide control, when combined with a suitable surfactant and diluted with water. As with chemical control, repeated applications are required."
Tomato___Target_Spot,"In regards to detection of Corynespora cassiicola, it is useful to inspect the plants bottom leaves while looking for ring-patterned spots that can be up to 10 mm in diameter. This pathogen is able to show symptoms on a vast host range and on several different structures. That being said, it is beneficial to additionally check the plants roots, stems, and fruit exterior for symptoms.There are several cultural control practices that may be useful for managing this pathogen. Before planting begins, measures should be taken for prevention. These measures include avoiding planting crops next to ones known to already have the disease. In order to do so,   seedlings should be checked for these leaf spots previously mentioned. If the Corynespora cassiicola is discovered on the plant during its development, management of the disease includes removing and burning the plants lower leaves. Additionally, its important to ensure that there are no weeds present on the plant plots because these weeds may act as hosts and harbor the fungus. Additionally, weeds can be considered disadvantageous in a field because they work to compete against the host for nutrients. Some tactics for managing weeds include applying mulch to the soil or introducing a natural pathogen of the weed as a method of biocontrol. If the pathogen is discovered after harvesting the host, management includes burning the infected crop in the attempt to rid the disease from the environment. Furthermore, practicing plant rotation and waiting three years before replanting the host on the same land can be beneficial for pathogen prevention.Chemical control may also be employed to promote disease prevention. Several researchers at the University of Florida conducted a study in which they tested a variety of fungicides on the pathogen. They tested 11 Corynespora cassiicola isolates and concluded that all tested isolates were highly resistant to the fungicides azoxystrobin and pyraclostrobin. This information suggests that because QoIs are not advantageous fungicides to use for Corynespora cassiicola management, fungicides with different FRAC codes may be more useful. So, farmers should consider fungicides with modes of action that are different from QoI when determining which chemical to apply."
Tomato___Tomato_Yellow_Leaf_Curl_Virus,"Currently, the most effective treatments used to control the spread of TYLCV are insecticides and resistant crop varieties.  The effectiveness of insecticides is not optimal in tropical areas due to whitefly resistance against the insecticides; therefore, insecticides should be alternated or mixed to provide the most effective treatment against virus transmission. Developing countries experience the most significant losses due to TYLCV infections due to the warm climate as well as the expensive costs of insecticides used as the control strategy. Other methods to control the spread of TYLCV include planting resistant/tolerant lines, crop rotation, and breeding for resistance of TYLCV. As with many other plant viruses, one of the most promising methods to control TYLCV is the production of transgenic tomato plants resistant to TYLCV."
Tomato___Tomato_mosaic_virus,"One of the common control methods for TMV is sanitation, which includes removing infected plants and washing hands in between each planting. Crop rotation should also be employed to avoid infected soil/seed beds for at least two years. As for any plant disease, looking for resistant strains against TMV may also be advised. Furthermore, the cross protection method can be administered, where the stronger strain of TMV infection is inhibited by infecting the host plant with mild strain of TMV, similar to the effect of a vaccine.In the past ten years, the application of genetic engineering on a host plant genome has been developed to allow the host plant to produce the TMV coat protein within their cells. It was hypothesized that the TMV genome will be re-coated rapidly upon entering the host cell, thus it prevents the initiation of TMV replication. Later it was found that the mechanism that protects the host from viral genome insertion is through gene silencing."
