Label,Summary
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"A Leaf Spot is a limited, discoloured, diseased area of a leaf that is caused by fungal, bacterial or viral plant diseases, or by injuries from nematodes, insects, environmental factors, toxicity or herbicides. These discoloured spots or lesions often have a centre of necrosis or cell death. Symptoms can overlap across causal agents, however differing signs and symptoms of certain pathogens can lead to the diagnosis of the type of leaf spot disease. Prolonged wet and humid conditions promote leaf spot disease and most pathogens are spread by wind, splashing rain or irrigation that carry the disease to other leaves."
Orange___Haunglongbing_(Citrus_greening),"Citrus greening disease (Chinese: 黃龍病; pinyin: huánglóngbìng; lit. yellow dragon disease; or HLB) is a disease of citrus caused by a vector-transmitted pathogen. The causative agents are motile bacteria, Candidatus Liberibacter spp. The disease is vectored and transmitted by the Asian citrus psyllid, Diaphorina citri, and the African citrus psyllid, Trioza erytreae, also known as the two-spotted citrus psyllid. It has also been shown to be graft-transmissible. Three different types of HLB are currently known: The heat-tolerant Asian form, and the heat-sensitive African and American forms. The disease was first described in 1929 and first reported in China in 1943. The African variation was first reported in 1947 in South Africa, where it is still widespread. Eventually, it affected the United States, reaching Florida in 2005. Within three years, it had spread to the majority of citrus farms. The rapid increase in this disease has threatened the citrus industry not only in Florida, but the entire US. As of 2009, 33 countries have reported HLB infection in their citrus crop."
Peach___Bacterial_spot,"Bacterial leaf scorch (commonly abbreviated BLS, also called bacterial leaf spot) is a disease state affecting many crops, caused mainly by the xylem-plugging bacterium Xylella fastidiosa. It can be mistaken for ordinary leaf scorch caused by cultural practices such as over-fertilization."
"Pepper,_bell___Bacterial_spot","Xanthomonas campestris pv. vesicatoria is a bacterium that causes bacterial leaf spot (BLS) on peppers and tomatoes. It is a gram-negative and rod-shaped. It causes symptoms throughout the above-ground portion of the plant including leaf spots, fruit spots and stem cankers. Since this bacterium cannot live in soil for more than a few weeks and survives as inoculum on plant debris, removal of dead plant material and chemical applications to living plants are considered effective control mechanisms."
Tomato___Bacterial_spot,"Xanthomonas campestris pv. vesicatoria is a bacterium that causes bacterial leaf spot (BLS) on peppers and tomatoes. It is a gram-negative and rod-shaped. It causes symptoms throughout the above-ground portion of the plant including leaf spots, fruit spots and stem cankers. Since this bacterium cannot live in soil for more than a few weeks and survives as inoculum on plant debris, removal of dead plant material and chemical applications to living plants are considered effective control mechanisms."
Potato___Early_blight,"Alternaria solani is a fungal pathogen that produces a disease in tomato and potato plants called early blight. The pathogen produces distinctive ""bullseye"" patterned leaf spots and can also cause stem lesions and fruit rot on tomato and tuber blight on potato.  Despite the name ""early,"" foliar symptoms usually occur on older leaves. If uncontrolled, early blight can cause significant yield reductions.  Primary methods of controlling this disease include preventing long periods of wetness on leaf surfaces and applying fungicides.Geographically, A. solani is problematic in tomato production areas east of the Rocky Mountains and is generally not an issue in the less humid Pacific or inter-mountain regions. A. solani is also present in most potato production regions every year but has a significant effect on yield only when frequent wetting of foliage favors symptom development."
Tomato___Early_blight,"Alternaria solani is a fungal pathogen that produces a disease in tomato and potato plants called early blight. The pathogen produces distinctive ""bullseye"" patterned leaf spots and can also cause stem lesions and fruit rot on tomato and tuber blight on potato.  Despite the name ""early,"" foliar symptoms usually occur on older leaves. If uncontrolled, early blight can cause significant yield reductions.  Primary methods of controlling this disease include preventing long periods of wetness on leaf surfaces and applying fungicides.Geographically, A. solani is problematic in tomato production areas east of the Rocky Mountains and is generally not an issue in the less humid Pacific or inter-mountain regions. A. solani is also present in most potato production regions every year but has a significant effect on yield only when frequent wetting of foliage favors symptom development."
Potato___Late_blight,"Phytophthora infestans is an oomycete or water mold, a microorganism that causes the serious potato and tomato disease known as late blight or potato blight. Early blight, caused by Alternaria solani, is also often called ""potato blight"". Late blight was a major culprit in the 1840s European, the 1845 - 1852 Irish, and the 1846 Highland potato famines. The organism can also infect some other members of the Solanaceae. The pathogen is favored by moist, cool environments: sporulation is optimal at 12–18 °C in water-saturated or nearly saturated environments, and zoospore production is favored at temperatures below 15 °C. Lesion growth rates are typically optimal at a slightly warmer temperature range of 20 to 24 °C."
Tomato___Late_blight,"Phytophthora infestans is an oomycete or water mold, a microorganism that causes the serious potato and tomato disease known as late blight or potato blight. Early blight, caused by Alternaria solani, is also often called ""potato blight"". Late blight was a major culprit in the 1840s European, the 1845 - 1852 Irish, and the 1846 Highland potato famines. The organism can also infect some other members of the Solanaceae. The pathogen is favored by moist, cool environments: sporulation is optimal at 12–18 °C in water-saturated or nearly saturated environments, and zoospore production is favored at temperatures below 15 °C. Lesion growth rates are typically optimal at a slightly warmer temperature range of 20 to 24 °C."
Strawberry___Leaf_scorch,"Diplocarpon earlianum is a species of fungus that causes disease in strawberry plants called strawberry leaf scorch. The disease overwinters in plant debris and infects strawberry plants during the spring season when it is wet. The five main methods to reduce strawberry leaf scorch include: irrigation techniques, crop rotation, planting resistant and disease-free seeds, fungicide use, and sanitation measures. Control of strawberry leaf scorch is important because it is responsible for the majority of disease in strawberries. Diplocarpon earliana affects the fruit quality and yield of the strawberry crop. Losses range from negligible to severe depending on numerous epidemiological factors including cultivar susceptibility, type of cropping system, and weather conditions "
Tomato___Leaf_Mold,"Cladosporium fulvum is an Ascomycete called Passalora fulva, a non-obligate pathogen that causes the disease on tomato known as the Tomato leaf mold.  P. fulva only attacks tomato plants, especially the foliage, and it is a common disease in greenhouses, but can also occur in the field. The pathogen is likely to grow in humid and cool conditions. In greenhouses, this disease causes big problems during the fall, in the early winter and spring, due to the high relative humidity of air and the temperature, that are propitious for the leaf mold development. This disease was first described in the North Carolina, by Mordecai Cubitt Cooke (1883), on cultivated tomato (Cooke 1883), although it is originally from South and Central America. The causal fungus of tomato leaf mold may also be referred to as Cladosporium fulvum (Cooke 1883), a former name."
Tomato___Septoria_leaf_spot,Septoria lycopersici is a fungal pathogen that is most commonly found infecting tomatoes. It causes one of the most destructive diseases of tomatoes and attacks tomatoes during any stage of development.
Tomato___Spider_mites Two-spotted_spider_mite,"Spider mites are members of the Acari (mite) family Tetranychidae, which includes about 1,200 species. They generally live on the undersides of leaves of plants, where they may spin protective silk webs, and they can cause damage by puncturing the plant cells to feed. Spider mites are known to feed on several hundred species of plants."
Tomato___Target_Spot,Corynespora cassiicola is a species of fungus well known as a plant pathogen. It is a sac fungus in the family Corynesporascaceae. It is the type species of the genus Corynespora.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,"Tomato yellow leaf curl virus (TYLCV) is a DNA virus from the genus Begomovirus and the family Geminiviridae.  TYLCV causes the most destructive disease of tomato, and it can be found in tropical and subtropical regions causing severe economic losses. This virus is transmitted by an insect vector from the family Aleyrodidae and order Hemiptera, the whitefly Bemisia tabaci, commonly known as the silverleaf whitefly or the sweet potato whitefly.  The primary host for TYLCV is the tomato plant, and other plant hosts where TYLCV infection has been found include eggplants, potatoes, tobacco, beans, and peppers. Due to the rapid spread of TYLCV in the last few decades, there is an increased focus in research trying to understand and control this damaging pathogen. Some interesting findings include virus being sexually transmitted from infected males to non-infected females (and vice versa), and an evidence that TYLCV is transovarially transmitted to offspring for two generations."
Tomato___Tomato_mosaic_virus,"Tobacco mosaic virus (TMV) is a positive-sense single-stranded RNA virus species in the genus Tobamovirus that infects a wide range of plants, especially tobacco and other members of the family Solanaceae.  The infection causes characteristic patterns, such as ""mosaic""-like mottling and discoloration on the leaves (hence the name). TMV was the first virus to be discovered. Although it was known from the late 19th century that a non-bacterial infectious disease was damaging tobacco crops, it was not until 1930 that the infectious agent was determined to be a virus. It is the first pathogen identified as a virus."
